"Date","Close","Open","High","Low"
"2015/01/05","17408.71","17325.68","17540.92","17219.22"
"2015/01/06","16883.19","17101.58","17111.36","16881.73"
"2015/01/07","16885.33","16808.26","16974.61","16808.26"
"2015/01/08","17167.10","17067.40","17243.71","17016.09"
"2015/01/09","17197.73","17318.74","17342.65","17129.53"
"2015/01/13","17087.71","16970.88","17087.71","16828.27"
"2015/01/14","16795.96","16961.82","17036.72","16770.56"
"2015/01/15","17108.70","16872.95","17141.98","16856.22"
"2015/01/16","16864.16","16812.96","16864.34","16592.57"
"2015/01/19","17014.29","17000.78","17039.80","16911.58"
"2015/01/20","17366.30","17071.65","17366.30","17066.77"
"2015/01/21","17280.48","17308.72","17329.03","17181.55"
"2015/01/22","17329.02","17306.64","17355.74","17229.21"
"2015/01/23","17511.75","17520.63","17532.06","17460.76"
"2015/01/26","17468.52","17285.71","17471.94","17285.71"
"2015/01/27","17768.30","17649.40","17768.41","17633.47"
"2015/01/28","17795.73","17615.93","17850.59","17615.93"
"2015/01/29","17606.22","17666.91","17778.83","17575.10"
"2015/01/30","17674.39","17788.74","17808.47","17661.10"
"2015/02/02","17558.04","17536.61","17628.40","17459.45"
"2015/02/03","17335.85","17654.60","17654.60","17271.87"
"2015/02/04","17678.74","17549.30","17743.11","17535.04"
"2015/02/05","17504.62","17589.21","17619.34","17484.67"
"2015/02/06","17648.50","17696.18","17700.67","17603.07"
"2015/02/09","17711.93","17790.31","17799.49","17653.61"
"2015/02/10","17652.68","17662.67","17673.27","17550.03"
"2015/02/12","17979.72","17899.40","18005.45","17884.34"
"2015/02/13","17913.36","17892.10","17962.11","17864.55"
"2015/02/16","18004.77","18024.01","18074.26","17978.90"
"2015/02/17","17987.09","17949.70","18009.45","17901.26"
"2015/02/18","18199.17","18103.98","18202.61","18092.32"
"2015/02/19","18264.79","18237.35","18322.50","18237.35"
"2015/02/20","18332.30","18336.50","18360.92","18297.67"
"2015/02/23","18466.92","18499.58","18509.08","18402.02"
"2015/02/24","18603.48","18468.39","18603.48","18427.98"
"2015/02/25","18585.20","18636.34","18648.77","18552.81"
"2015/02/26","18785.79","18587.87","18790.83","18587.13"
"2015/02/27","18797.94","18844.28","18865.39","18714.64"
"2015/03/02","18826.88","18869.40","18939.17","18775.23"
"2015/03/03","18815.16","18910.52","18910.52","18730.57"
"2015/03/04","18703.60","18716.78","18732.66","18586.84"
"2015/03/05","18751.84","18658.16","18767.50","18655.36"
"2015/03/06","18971.00","18814.85","18979.64","18808.30"
"2015/03/09","18790.55","18872.96","18878.15","18733.87"
"2015/03/10","18665.11","18891.01","18924.38","18577.06"
"2015/03/11","18723.52","18604.87","18836.93","18583.52"
"2015/03/12","18991.11","18787.10","19008.13","18774.42"
