"Date","Close","Open","High","Low"
"2015/01/05","25.15","27.23","32.77","25.15"
"2015/01/06","26.58","31.52","31.52","25.72"
"2015/01/07","25.95","30.14","30.17","25.85"
"2015/01/08","24.99","27.85","27.88","24.80"
"2015/01/09","23.89","24.67","24.75","22.97"
"2015/01/13","24.48","26.07","26.88","24.42"
"2015/01/14","25.26","24.84","25.55","24.27"
"2015/01/15","23.64","25.05","25.05","23.31"
"2015/01/16","25.63","25.73","27.37","25.17"
"2015/01/19","25.22","25.49","25.80","25.15"
"2015/01/20","24.79","24.66","25.07","24.44"
"2015/01/21","24.76","24.76","25.68","24.52"
"2015/01/22","24.21","24.42","24.42","23.85"
"2015/01/23","22.19","23.54","23.54","22.11"
"2015/01/26","22.16","23.35","23.39","22.16"
"2015/01/27","21.03","21.29","21.34","20.98"
"2015/01/28","20.72","21.34","21.38","20.20"
"2015/01/29","21.65","21.18","21.74","20.80"
"2015/01/30","21.67","21.25","22.03","21.04"
"2015/02/02","23.04","22.97","23.21","22.52"
"2015/02/03","23.80","22.33","24.33","22.28"
"2015/02/04","22.34","22.54","22.56","21.95"
"2015/02/05","22.82","22.35","23.16","22.28"
"2015/02/06","22.42","23.93","24.18","22.19"
"2015/02/09","22.49","23.42","23.42","21.89"
"2015/02/10","22.64","22.42","23.02","22.28"
"2015/02/12","22.24","21.44","22.24","21.08"
"2015/02/13","20.65","21.30","21.44","20.65"
"2015/02/16","21.72","21.03","21.91","21.01"
"2015/02/17","21.31","21.80","22.07","21.18"
"2015/02/18","20.56","20.91","21.02","20.43"
"2015/02/19","21.04","20.55","21.16","20.53"
"2015/02/20","21.96","20.73","21.96","20.62"
"2015/02/23","21.84","22.37","22.54","21.84"
"2015/02/24","20.04","21.45","21.46","19.99"
"2015/02/25","18.97","19.41","19.46","18.65"
"2015/02/26","19.55","18.90","19.96","18.86"
"2015/02/27","20.55","19.87","20.77","19.87"
"2015/03/02","20.63","20.93","21.43","20.63"
"2015/03/03","20.33","20.44","20.57","20.10"
"2015/03/04","20.63","20.59","21.38","20.48"
"2015/03/05","20.02","20.29","20.58","19.91"
"2015/03/06","19.52","20.04","20.21","19.51"
"2015/03/09","19.68","19.82","21.23","19.31"
"2015/03/10","20.66","20.32","21.30","19.30"
"2015/03/11","20.85","21.26","21.38","20.02"
"2015/03/12","20.10","20.23","20.54","19.73"
"2015/03/13","20.36","19.61","20.49","19.50"
"2015/03/16","20.71","20.94","21.32","20.60"
"2015/03/17","20.34","20.46","20.56","20.06"
"2015/03/18","20.91","20.55","21.17","20.55"
"2015/03/19","20.50","20.65","20.77","19.48"
"2015/03/20","19.41","20.47","20.48","19.33"
"2015/03/23","19.53","19.46","19.72","19.22"
"2015/03/24","19.94","19.59","20.18","19.56"
"2015/03/25","19.35","19.75","20.17","19.20"
"2015/03/26","21.27","19.65","21.55","19.54"
"2015/03/27","22.75","20.61","23.89","20.23"
"2015/03/30","21.55","22.58","23.33","21.50"
"2015/03/31","22.71","20.76","22.71","20.50"
"2015/04/01","22.60","22.68","24.09","22.31"
"2015/04/02","21.04","22.50","22.71","20.98"
"2015/04/03","20.26","20.75","20.86","20.26"
"2015/04/06","20.49","21.24","22.40","20.35"
"2015/04/07","19.98","20.13","20.33","19.76"
"2015/04/08","19.53","19.80","20.70","19.50"
"2015/04/09","19.30","18.55","20.19","18.55"
"2015/04/10","20.03","19.23","20.20","19.13"
"2015/04/13","20.38","20.35","20.99","20.21"
"2015/04/14","20.38","20.38","20.75","20.27"
"2015/04/15","19.80","20.62","20.92","19.70"
"2015/04/16","19.23","19.71","19.91","19.19"
"2015/04/17","19.70","19.30","20.29","19.28"
"2015/04/20","21.01","21.31","21.63","20.43"
"2015/04/21","20.38","20.66","20.95","20.33"
"2015/04/22","21.50","20.55","21.83","20.55"
"2015/04/23","21.45","21.52","21.76","21.22"
"2015/04/24","21.02","21.20","21.35","20.78"
"2015/04/27","21.75","21.45","22.68","21.44"
"2015/04/28","20.71","21.49","31.63","20.59"
"2015/04/30","21.20","26.33","27.20","20.35"
"2015/05/01","19.97","27.52","27.61","19.61"
"2015/05/07","21.80","22.94","23.00","21.29"
"2015/05/08","20.60","21.00","21.55","20.20"
"2015/05/11","19.34","19.56","19.77","19.00"
"2015/05/12","19.13","19.28","19.53","19.09"
"2015/05/13","18.37","19.61","19.86","18.20"
"2015/05/14","18.34","18.77","18.95","18.20"
"2015/05/15","17.71","18.00","18.02","17.66"
"2015/05/18","18.44","18.58","18.95","18.17"
"2015/05/19","18.44","18.43","18.66","18.36"
"2015/05/20","18.55","18.26","18.67","18.11"
"2015/05/21","18.75","18.46","18.87","18.46"
