"Date","Close","Open","High","Low"
"2018/02/13","33.75","25.27","33.77","22.93"
"2018/02/14","30.02","30.89","33.10","28.35"
"2018/02/15","25.37","26.29","26.93","24.73"
"2018/02/16","23.48","24.13","24.82","23.03"
"2018/02/19","22.21","23.22","23.22","21.94"
"2018/02/20","23.84","22.40","24.85","22.28"
"2018/02/21","22.96","23.33","24.12","22.19"
"2018/02/22","25.01","24.36","25.40","24.03"
"2018/02/23","22.08","23.42","23.76","22.07"
"2018/02/26","20.72","21.68","21.87","20.72"
"2018/02/27","21.03","19.95","21.27","19.75"
"2018/02/28","22.09","21.61","22.42","21.06"
"2018/03/01","24.59","23.13","25.07","23.13"
"2018/03/02","26.88","27.64","28.72","26.10"
"2018/03/05","28.39","29.53","29.83","27.12"
"2018/03/06","25.62","25.10","29.18","24.47"
"2018/03/07","27.39","26.59","28.27","25.84"
"2018/03/08","25.09","25.35","25.81","24.79"

